S.No.,Developer Name,CEO Name ,Office Address,Office Contact No.,Mobile No. ,E Mail,Total Project capacity (MW),Project Location,Project Tehsil/Taluka,Project District,Project Logitude,Project Latitude,"Projects in Solar Park
(Yes/No), If yes mention Solar Park name",,Type (Ground Mounted/Rooftop/Other),Type of Module (Thin/Poly/Mono/Other),Module Make,Scheme (Central /State Scheme),Mode of sale of power(captive/PPA/Third party sale),Tenure of PPA,Substation Name,Substation Voltage Level,Feeder Name,Feeder Voltage,Commissioned AC Capacity (MW) ,Commissioned DC Capacity (MWp) ,Date of Commissioning ,"Remark,if any",FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Sri Power
Generation Ltd ",Mr. G G Chowdary,"18 Ilabs Centre,
Building -3,
Madhapur,
HYDERABAD –
500 081",040-40384444,9849061482,info@sripower.in,2,Chervi (V),Satyavedu (M),Chittoor,79.982,13.528,No,NA,Ground Mounted,,,MNRE-Grid Interactive Demonstration Scheme,PPA ,,,,,,2,2,18.03.2011,Yet to be received ,2010-11
2,Sri Power Generation (India) Pvt. Ltd,Mr. G G Chowdary,"18 iLabs Centre, Bldge No. 3, Madhapur, Hyderabad- 500081",040-40384444,9849061482,gg@sripower.in,1,Kuttagullu ,Kadiri,Ananthapuramu,78.141,14.165,No,NA,Ground mounted,Poly Crystalline &Thin Film,1. Poly Crystalline- Titan. 2. Thin Film- Abound,"JNNSM, Govt. of India (RPSSGP)",PPA,25 Years , Kuttagulla ,33/11KV,Sri Power ,11KV,1,1,14.01.2012,,2011-12
3,Amrit Jal Ventures Pvt Ltd,Sathish Kumar,1-7-293 M.G Road Secunderabad,040-71204284,9949552505,satish.j@gatiinfra.com,1,Kutagullu,Kadiri,Ananthapuramu,78.916,14.944,No,NA,Ground Mounted,Thin,Tianwei,"JNNSM, Govt. of India (RPSSGP)",PPA,25 Years, Kuttagulla ,33/11KV,Kutagulla,33/11KV,1,1,07.03.2012,-,2011-12
4,Kishore Electro Infra Pvt. Ltd,,"G1, Vishwanath Towers,Sawarkar ngar, Nacharam, HYDERABAD",040-2717452,9440289000,audit@kishoreindustries.com,1,Peerecharla,Guntur Rural,Guntur ,80.352,16.289,No,NA,Ground Mounted,Poly Cryatalline,XL Energy Ltd,"JNNSM, Govt. of India (RPSSGP)",PPA,25 Years,Nallapadu,33/11,"Polytechnic College
Nallapadu",11 KV,1,1,13.03.2012,-,2011-12
5,Gajanan Financial Services Pvt. Ltd.,Sri. Girish Gelli,"8-2-268/2/B/1, ROAD NO 2 BANJARA HILLS HYDERABAD TG 500034",040-40247059,"8686076808 (Mr. A. Ravi Chander, Site Incharge) &9849032121 (Sri. Girish Gelli)","atpl_gnn@yahoo.co. in, gajsolar@gmail.com",1,Laddagiri,Kodumur,Kurnool,77.878,15.634,No,NA,Ground Mounted,Poly Crystalline,"Solar Semi Conductor, Hyderabad","JNNSM, Govt. of India (RPSSGP)",PPA,25 Years,Laddagiri,33/11 ,Gajanan,11 KV,1,1,14.03.2012,,2011-12
6,APIIC Ltd,ZONAL MANAGER,"APIIC O/o THE ZONAL MANAGER  Industrial park Bellary Road,Anantapuramu-515004",08554-270973,9848175457,zm.atp.apiic@nic.in,1,"Industrial Park,Gooty",Gooty,Ananthapuramu,77.6,15.1,No,NA,Ground mounted,Ploy Crystalline,Photon Energy,"JNNSM, Govt. of India (RPSSGP)",PPA,25 Years,Gooty Industrial Estate,33/11KV,APIIC Solar feeder,11KV,1,1,15.03.2012,,2011-12
7,Sai Sudhir Energy Limited,M V  Raghava Reddy,"401,G.Pelite,8-2-283/4,Road No.14,Banjarahills, Hyderabad-500034",040-23543470,8978779552,umapathisweeti@gmail.com,5,T.Veeravaram,Rayadurg,Ananthapuramu,76.952,14.761,No,NA,Ground mounted,Thin Film,Solar Frontier,Central,PPA,25 Years,Rayadurg,33/132KV,SaiSudhir Energy Ltd,33KV,5,5.5,05.01.2012,,2011-12
8,"Walwhan 
Solar AP Ltd. (Welspun Solar Pvt Ltd)","Mahesh
 Pranjpe","ADC park, muddanuru road , Pulivendula , Kadapa dist. ",9030531255,9030531255,"suresh.giri@
tatapower.com",5,Pulivendula,"Puliven
dula",YSR Kadapa ,78.238,14.463,No,NA,Ground mounted,Thin Film,Solar frontier ,Central,PPA,25 Years,"
 Pulivendula",33/132/220KV,Welspun ,33 KV,5,5.5,31.12.201,,2011-12
9,Rithwik Projects Pvt Ltd,C.S.Bansal,"Plot No.34&39, Navodaya Colony, Road No:02 , Banjara Hills, Hyderabad-500034",040-49113333,"8978343232 , 9652003333",jayaprakash.yeallapu@rithwikprojects.com  govardhan.gummalla@rithwikprojects.com,5,Kadiri,Kadiri,Ananthapuramu,78.144,14.163,No,NA,Ground mounted,Poly Crystalline,Waaree,Central,PPA,25 Years,Kadiri,132/33 KV,Rithwik Feeder,33 KV,5,5,25.04.2012,,2012-13
10, SaiSudhir Energy Limited,M V  Raghava Reddy,"401,G.Pelite,8-2-283/4,Road No.14,Banjarahills, Hyderabad-500034",040-23543470,8978779552,umapathisweeti@gmail.com,20,Borampalli,Kalyandurg,Ananthapuramu,77.181,14.587,No,NA,Ground mounted,Thin Film,Solar Frontier,Central,PPA,25 Years,Kalyandurg,33/132/220 KV,SaiSudhir Energy Ltd,33KV,20,22,26.04.2013,,2013-14
