Year Wise Breakup(In MW),,,,,,,,,,,,,,,,,,
FY,Ground Mounted (Number and Capacity),,Rooftop (Number and Capacity),,Total,,,,,,,,,,,,,
Up To 2010,1,2.00,_,0.00,2.00,,,,,,,,,,,,,
2011-12,7,15.00,_,0.00,15.00,,,,,,,,,,,,,
2012-13,1,5.00,_,0.00,5.00,,,,,,,,,,,,,
2013-14,7,44.00,_,0.00,44.00,,,,,,,,,,,,,
2014-15,15,81.20,37,0.45,81.65,,,,,,,,,,,,,
2015-16,24,438.45,83,1.67,440.12,,,,,,,,,,,,,
2016-17,52,1321.14,328,4.14,1325.28,,,,,,,,,,,,,
2017-18,11,268.00,512,12.08,280.08,,,,,,,,,,,,,
2018-19,24,870.70,554,19.04,889.74,,,,,,,,,,,,,
2019-20,8,506.00,521,22.51,528.51,,,,,,,,,,,,,
2020-21,18,470.52,_,0.00,470.52,,,,,,,,,,,,,
2021-22,10,151.91,_,0.00,151.91,,,,,,,,,,,,,
2022-23,8,97.675,_,0.00,97.68,,,,,,,,,,,,,
Total (MW),186,4271.595,2035,59.90,4331.49,,,,,,,,,,,,,
